1.000000-5  0.000000+0 0.000000+0                                            
 1.139000+6  4.159200-1 1.319200-1 3.613400-2 0.000000+0                      
 1.145000+6  4.189700-1 1.439100-1 3.535200-2 0.000000+0                      
 1.147000+6  4.266500-1 1.400200-1 4.062600-2 0.000000+0                      
 1.148000+6  4.264700-1 1.377800-1 3.620200-2 0.000000+0                      
 1.149000+6  4.236600-1 1.294700-1 3.746700-2 0.000000+0                      
 1.150000+6  4.163600-1 1.244900-1 3.571000-2 0.000000+0                      
 1.152000+6  4.037000-1 1.319400-1 4.425700-2 0.000000+0                      
 1.154000+6  3.864500-1 1.226600-1 3.605000-2 0.000000+0                      
 1.156000+6  3.994100-1 1.162600-1 3.379300-2 0.000000+0                      
 1.157000+6  3.942700-1 1.165000-1 2.569800-2 0.000000+0                      
 1.158000+6  3.995500-1 1.123400-1 3.530800-2 0.000000+0                      
 1.159000+6  3.901500-1 1.134600-1 2.139900-2 0.000000+0                      
 1.161000+6  3.825300-1 1.133400-1 2.321800-2 0.000000+0                      
 1.163000+6  3.643600-1 1.189300-1 1.103200-2 0.000000+0                      
 1.165000+6  3.830400-1 1.293500-1 3.109200-2 0.000000+0                      
 1.169000+6  3.944700-1 1.500100-1 3.642900-2 0.000000+0                      
 1.170000+6  4.032600-1 1.528800-1 4.605800-2 0.000000+0                      
 1.171000+6  3.971300-1 1.542300-1 3.600100-2 0.000000+0                      
 1.177000+6  4.272900-1 1.584300-1 4.688900-2 0.000000+0                      
 1.178000+6  4.243600-1 1.498000-1 2.770000-2 0.000000+0                      
 1.179000+6  4.340900-1 1.423500-1 2.664600-2 0.000000+0                      
 1.183000+6  4.243400-1 1.368400-1 3.801200-2 0.000000+0                      
 1.186000+6  4.214600-1 1.468000-1 4.531800-2 0.000000+0                      
 1.187000+6  4.004100-1 1.337300-1 3.415700-2 0.000000+0                      
 1.189000+6  3.895300-1 1.114900-1 2.486000-2 0.000000+0                      
 1.194000+6  3.885300-1 1.110800-1 1.767800-2 0.000000+0                      
 1.195000+6  3.834600-1 1.063100-1 2.901300-2 0.000000+0                      
 1.196000+6  3.749800-1 1.107800-1 2.125400-2 0.000000+0                      
 1.197000+6  3.921000-1 1.141400-1 3.121900-2 0.000000+0                      
 1.200000+6  3.873100-1 1.119000-1 2.270700-2 0.000000+0                      
 1.201000+6  3.868000-1 1.151600-1 3.094400-2 0.000000+0                      
 1.203000+6  3.771200-1 1.192900-1 2.560700-2 0.000000+0                      
 1.205000+6  3.706700-1 1.181700-1 2.944300-2 0.000000+0                      
 1.206000+6  3.692100-1 1.313800-1 2.029400-2 0.000000+0                      
 1.207000+6  3.704400-1 1.306900-1 2.572900-2 0.000000+0                      
 1.213000+6  3.568500-1 1.691900-1 2.232000-2 0.000000+0                      
 1.218000+6  3.292100-1 1.851500-1 3.116300-2 0.000000+0                      
 1.235000+6  3.096100-1 2.332500-1 4.390300-2 0.000000+0                      
 1.245000+6  3.118500-1 2.239600-1 4.908400-2 0.000000+0                      
 1.250000+6  3.222500-1 2.169200-1 7.215400-2 0.000000+0                      
 1.253000+6  3.158100-1 1.840500-1 6.288300-2 0.000000+0                      
 1.255000+6  3.169600-1 2.019600-1 5.178400-2 0.000000+0                      
 1.260000+6  3.006500-1 1.723700-1 3.099600-2 0.000000+0                      
 1.263000+6  2.859400-1 1.593100-1 4.114200-2 0.000000+0                      
 1.267000+6  2.811400-1 1.646500-1 5.010900-2 0.000000+0                      
 1.269000+6  2.914800-1 1.546600-1 6.718300-2 0.000000+0                      
 1.271000+6  2.779800-1 1.559200-1 2.965800-2 0.000000+0                      
 1.276000+6  2.721600-1 1.255300-1 3.475300-2 0.000000+0                      
 1.287000+6  2.399400-1 1.023300-1 3.064800-2 0.000000+0                      
 1.292000+6  2.349500-1 1.007500-1 4.739900-2 0.000000+0                      
 1.299000+6  2.334000-1 9.793500-2 1.138800-2 0.000000+0                      
 1.305000+6  2.618000-1 1.041400-1 1.747800-2 0.000000+0                      
 1.309000+6  3.303200-1 1.197000-1 4.031400-2 0.000000+0                      
 1.310000+6  3.276500-1 1.262100-1 2.256700-2 0.000000+0                      
 1.312000+6  3.662200-1 1.371500-1 3.431400-2 0.000000+0                      
 1.314000+6  3.747400-1 1.378400-1 2.389000-2 0.000000+0                      
 1.317000+6  4.280400-1 1.719200-1 6.589000-2 0.000000+0                      
 1.319000+6  4.265000-1 1.767800-1 5.037200-2 0.000000+0                      
 1.321000+6  4.399800-1 1.784800-1 5.612300-2 0.000000+0                      
 1.323000+6  4.407600-1 1.835900-1 5.080400-2 0.000000+0                      
 1.326000+6  4.510400-1 1.838400-1 4.508600-2 0.000000+0                      
 1.327000+6  4.514200-1 1.833200-1 5.062400-2 0.000000+0                      
 1.328000+6  4.430300-1 1.841900-1 4.900100-2 0.000000+0                      
 1.329000+6  4.478300-1 1.768500-1 5.870500-2 0.000000+0                      
 1.330000+6  4.331100-1 1.674000-1 5.026600-2 0.000000+0                      
 1.331000+6  4.304500-1 1.642600-1 5.559000-2 0.000000+0                      
 1.333000+6  4.306400-1 1.738500-1 4.793800-2 0.000000+0                      
 1.334000+6  4.308000-1 1.760900-1 5.164400-2 0.000000+0                      
 1.339000+6  3.946000-1 1.426900-1 2.809300-2 0.000000+0                      
 1.340000+6  3.788800-1 1.439200-1 2.361000-2 0.000000+0                      
 1.341000+6  3.796600-1 1.414800-1 3.334300-2 0.000000+0                      
